AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2021-22,40,5.7,5.4,14.2,20.5,20,"9,626","11,047","13,989","68,079",> 100%
National,,All,2021-22,41,5.8,5.5,13.1,19,10,"8,719","9,731","12,656","66,476",> 100%
National,,All,2021-22,42,5.9,5.6,12.4,17.8,15,"8,154","8,847","11,751","66,030",> 100%
National,,All,2021-22,43,6,5.7,11.7,16.6,14,"7,678","7,876","10,889","65,482",> 100%
National,,All,2021-22,44,6.1,5.8,11,15.6,5,"7,136","7,143","10,135","65,080",> 100%
National,,All,2021-22,45,6.2,5.9,10.8,15.3,25,"7,074","7,057","10,080","65,887",> 100%
National,,All,2021-22,46,6.3,6,11,15.7,16,"7,153","7,190","10,247","65,389",> 100%
National,,All,2021-22,47,6.4,6.1,11.2,16.3,17,"7,402","7,731","10,815","66,188",> 100%
National,,All,2021-22,48,6.5,6.2,11.9,17.3,35,"8,100","8,605","11,818","68,118",> 100%
National,,All,2021-22,49,6.6,6.3,12.6,18.4,53,"8,679","9,491","12,775","69,530",> 100%
National,,All,2021-22,50,6.7,6.4,13.2,19.2,55,"8,973","9,914","13,129","68,463",> 100%
National,,All,2021-22,51,6.8,6.5,13.2,19.4,79,"8,994","10,034","13,355","68,807",> 100%
National,,All,2021-22,52,6.9,6.6,13.7,20.7,140,"9,503","11,055","14,506","70,205",> 100%
National,,All,2021-22,1,7,6.7,15,23.6,157,"10,831","13,868","17,379","73,486",> 100%
National,,All,2021-22,2,7.1,6.8,15.9,26.7,109,"11,902","16,915","20,103","75,339",> 100%
National,,All,2021-22,3,7.1,6.8,16.6,28.8,104,"12,157","18,260","21,256","73,817",> 100%
National,,All,2021-22,4,7.2,6.9,16.3,28.4,66,"10,986","16,616","19,253","67,898",> 100%
National,,All,2021-22,5,7.2,6.9,15.9,26.8,47,"8,684","12,603","14,774","55,080",> 100%
National,,All,2021-22,6,7.2,6.9,13.7,23.1,38,"5,114","7,323","8,684","37,513",78.8%
National,,All,2021-22,7,7.2,6.9,12.1,20.4,12,"1,880","2,587","3,185","15,641",32.9%
National,,All,2020-21,40,5.6,5.3,8.1,11.8,8,"4,828","4,238","7,036","59,685",> 100%
National,,All,2020-21,41,5.7,5.4,8.4,12.4,12,"5,181","4,811","7,638","61,649",> 100%
National,,All,2020-21,42,5.8,5.5,8.7,13.2,16,"5,217","5,191","7,960","60,480",> 100%
National,,All,2020-21,43,5.9,5.6,9.1,14.3,15,"5,643","5,986","8,893","62,068",> 100%
National,,All,2020-21,44,6,5.7,9.7,15.7,21,"6,143","7,015","9,922","63,294",> 100%
National,,All,2020-21,45,6.1,5.8,10.5,17.4,21,"7,085","8,751","11,765","67,425",> 100%
National,,All,2020-21,46,6.2,5.9,11.8,19.9,20,"8,056","10,643","13,677","68,699",> 100%
National,,All,2020-21,47,6.3,6,13.2,23,30,"9,413","13,338","16,452","71,498",> 100%
National,,All,2020-21,48,6.4,6.1,14.3,25.4,27,"10,462","15,613","18,587","73,145",> 100%
National,,All,2020-21,49,6.5,6.2,15.7,28.1,35,"12,065","18,535","21,733","77,230",> 100%
National,,All,2020-21,50,6.6,6.3,16.2,29.5,29,"13,261","20,898","24,155","81,810",> 100%
National,,All,2020-21,51,6.7,6.4,17.3,30.9,32,"14,283","22,300","25,599","82,734",> 100%
National,,All,2020-21,52,6.8,6.5,17.7,31.7,32,"14,885","23,350","26,681","84,172",> 100%
National,,All,2020-21,53,6.9,6.6,18.5,32.6,44,"16,032","24,831","28,254","86,796",> 100%
National,,All,2020-21,1,7,6.7,19.4,33.8,32,"16,793","25,950","29,338","86,882",> 100%
National,,All,2020-21,2,7,6.7,19.4,33.3,35,"16,879","25,675","29,055","87,237",> 100%
National,,All,2020-21,3,7.1,6.8,18.9,32.2,31,"15,775","23,666","26,902","83,544",> 100%
National,,All,2020-21,4,7.1,6.8,17.5,29.6,34,"13,834","20,305","23,364","79,049",> 100%
National,,All,2020-21,5,7.2,6.9,16.1,26.4,28,"12,260","17,013","20,115","76,330",> 100%
National,,All,2020-21,6,7.2,6.9,14.3,23.1,24,"10,195","13,503","16,460","71,381",> 100%
National,,All,2020-21,7,7.2,6.9,12.9,20,15,"8,920","10,791","13,869","69,369",> 100%
National,,All,2020-21,8,7.2,6.9,11.3,17.4,18,"7,518","8,638","11,572","66,605",> 100%
National,,All,2020-21,9,7.2,6.9,10.4,15.2,26,"6,575","6,716","9,677","63,557",> 100%
National,,All,2020-21,10,7.1,6.8,9.4,13.7,13,"5,761","5,717","8,471","61,734",> 100%
National,,All,2020-21,11,7.1,6.8,8.8,12.7,6,"5,309","4,883","7,661","60,236",> 100%
National,,All,2020-21,12,7,6.7,8.4,11.9,17,"5,085","4,445","7,229","60,696",> 100%
National,,All,2020-21,13,7,6.7,8.1,11.7,18,"4,745","4,185","6,831","58,554",> 100%
National,,All,2020-21,14,6.9,6.6,8.1,11.6,12,"4,947","4,302","7,035","60,867",> 100%
National,,All,2020-21,15,6.8,6.5,8.4,11.9,8,"4,946","4,438","7,040","59,008",> 100%
National,,All,2020-21,16,6.7,6.4,8.5,12.1,15,"5,117","4,585","7,276","60,127",> 100%
National,,All,2020-21,17,6.6,6.3,8.2,11.4,6,"4,868","4,152","6,809","59,661",> 100%
National,,All,2020-21,18,6.5,6.2,8.1,11.3,9,"4,763","3,992","6,620","58,844",> 100%
National,,All,2020-21,19,6.4,6.1,7.8,10.6,10,"4,522","3,674","6,192","58,314",> 100%
National,,All,2020-21,20,6.3,6,7.4,9.9,9,"4,343","3,229","5,806","58,586",> 100%
National,,All,2020-21,21,6.2,5.9,7,9.2,4,"4,006","2,760","5,239","57,171",> 100%
National,,All,2020-21,22,6.1,5.8,6.8,8.6,8,"3,874","2,340","4,901","57,280",> 100%
National,,All,2020-21,23,6,5.7,6.6,8.2,6,"3,736","2,025","4,653","56,751",> 100%
National,,All,2020-21,24,5.9,5.6,6.5,7.9,11,"3,680","1,770","4,492","57,034",> 100%
National,,All,2020-21,25,5.8,5.5,6.1,7.5,8,"3,469","1,628","4,253","56,687",> 100%
National,,All,2020-21,26,5.7,5.4,5.9,7.1,7,"3,371","1,536","4,090","57,295",> 100%
National,,All,2020-21,27,5.7,5.4,6.2,7.5,3,"3,549","1,634","4,294","56,957",> 100%
National,,All,2020-21,28,5.6,5.3,6.7,8.3,8,"3,824","1,985","4,735","56,941",> 100%
National,,All,2020-21,29,5.5,5.2,7.3,9.3,9,"4,220","2,752","5,435","58,204",> 100%
National,,All,2020-21,30,5.5,5.2,8.5,11.4,11,"5,079","4,094","6,852","60,060",> 100%
National,,All,2020-21,31,5.5,5.2,10.3,14.6,12,"6,502","6,459","9,239","63,324",> 100%
National,,All,2020-21,32,5.4,5.1,12.7,18.4,11,"8,451","9,354","12,212","66,541",> 100%
National,,All,2020-21,33,5.4,5.1,14.6,21.6,12,"10,125","12,128","15,041","69,477",> 100%
National,,All,2020-21,34,5.4,5.1,16,23.8,16,"11,441","14,101","17,040","71,588",> 100%
National,,All,2020-21,35,5.5,5.2,16.9,25,31,"12,237","15,389","18,216","72,719",> 100%
National,,All,2020-21,36,5.5,5.2,16.8,25,15,"12,210","15,309","18,199","72,770",> 100%
National,,All,2020-21,37,5.5,5.2,16.7,25,17,"12,081","15,124","18,133","72,438",> 100%
National,,All,2020-21,38,5.6,5.3,16,24.1,17,"11,396","14,224","17,176","71,272",> 100%
National,,All,2020-21,39,5.7,5.3,15,22.2,18,"10,554","12,700","15,625","70,299",> 100%
National,,All,2019-20,40,5.7,5.3,5.2,5.2,17,"2,716",0,"2,733","52,564",> 100%
National,,All,2019-20,41,5.7,5.4,5.3,5.3,16,"2,784",0,"2,800","53,090",> 100%
National,,All,2019-20,42,5.8,5.5,5.5,5.5,18,"2,993",0,"3,011","54,338",> 100%
National,,All,2019-20,43,5.9,5.6,5.6,5.6,30,"2,997",0,"3,027","54,049",> 100%
National,,All,2019-20,44,6,5.7,5.5,5.5,31,"2,929",0,"2,960","54,087",> 100%
National,,All,2019-20,45,6.1,5.8,5.6,5.6,31,"3,084",0,"3,115","55,699",> 100%
National,,All,2019-20,46,6.2,5.9,5.6,5.6,39,"3,109",0,"3,148","55,886",> 100%
National,,All,2019-20,47,6.3,6,5.5,5.5,50,"3,015",0,"3,065","56,199",> 100%
National,,All,2019-20,48,6.4,6.1,5.5,5.5,66,"3,000",0,"3,066","55,465",> 100%
National,,All,2019-20,49,6.5,6.2,6,6,101,"3,332",0,"3,433","57,303",> 100%
National,,All,2019-20,50,6.6,6.3,6.2,6.2,111,"3,486",0,"3,597","57,658",> 100%
National,,All,2019-20,51,6.7,6.4,6.1,6.1,129,"3,395",0,"3,524","57,424",> 100%
National,,All,2019-20,52,6.8,6.5,6.4,6.4,203,"3,540",0,"3,743","58,458",> 100%
National,,All,2019-20,1,6.9,6.6,7.6,7.6,432,"4,102",0,"4,534","60,031",> 100%
National,,All,2019-20,2,7,6.6,7.6,7.6,472,"4,137",1,"4,609","60,586",> 100%
National,,All,2019-20,3,7,6.7,7.6,7.6,465,"4,057",2,"4,522","59,214",> 100%
National,,All,2019-20,4,7.1,6.8,7.5,7.5,498,"3,905",2,"4,405","59,016",> 100%
National,,All,2019-20,5,7.1,6.8,7.3,7.3,480,"3,810",0,"4,290","58,693",> 100%
National,,All,2019-20,6,7.1,6.8,7.3,7.3,519,"3,816",4,"4,338","59,351",> 100%
National,,All,2019-20,7,7.2,6.8,7.5,7.5,560,"3,836",5,"4,399","58,692",> 100%
National,,All,2019-20,8,7.2,6.8,7.3,7.3,565,"3,711",6,"4,279","58,765",> 100%
National,,All,2019-20,9,7.1,6.8,7.6,7.6,654,"3,837",9,"4,495","59,199",> 100%
National,,All,2019-20,10,7.1,6.8,7.7,7.8,634,"3,976",38,"4,628","59,568",> 100%
National,,All,2019-20,11,7.1,6.8,7.8,7.9,625,"3,971",60,"4,625","58,548",> 100%
National,,All,2019-20,12,7,6.7,8.6,9.2,558,"4,542",586,"5,421","59,093",> 100%
National,,All,2019-20,13,7,6.7,10.5,13.2,445,"6,162","3,202","8,310","62,860",> 100%
National,,All,2019-20,14,6.9,6.6,14.4,21.5,476,"9,902","10,106","15,476","72,132",> 100%
National,,All,2019-20,15,6.9,6.5,15.8,26.8,473,"11,980","16,284","21,159","78,928",> 100%
National,,All,2019-20,16,6.8,6.5,15.2,27.8,263,"11,400","17,184","21,328","76,682",> 100%
National,,All,2019-20,17,6.7,6.4,14.2,26.2,143,"10,368","15,522","19,323","73,767",> 100%
National,,All,2019-20,18,6.6,6.3,13,24.1,66,"8,927","13,194","16,652","69,172",> 100%
National,,All,2019-20,19,6.5,6.2,11.8,21.5,48,"7,822","11,217","14,363","66,698",> 100%
National,,All,2019-20,20,6.4,6.1,10.6,19,22,"6,779","9,227","12,225","64,388",> 100%
National,,All,2019-20,21,6.3,6,9.6,16.5,24,"5,893","7,227","10,159","61,509",> 100%
National,,All,2019-20,22,6.2,5.9,8.9,15,12,"5,264","6,156","8,951","59,568",> 100%
National,,All,2019-20,23,6.1,5.8,8.3,13.3,11,"4,893","5,044","7,796","58,789",> 100%
National,,All,2019-20,24,6,5.7,7.9,11.9,11,"4,536","4,226","6,908","57,901",> 100%
National,,All,2019-20,25,5.9,5.6,7.5,11.4,8,"4,362","3,843","6,609","57,893",> 100%
National,,All,2019-20,26,5.8,5.5,7.3,11.2,12,"4,270","3,833","6,549","58,386",> 100%
National,,All,2019-20,27,5.7,5.4,7.6,11.9,4,"4,558","4,535","7,093","59,690",> 100%
National,,All,2019-20,28,5.6,5.3,9,13.9,10,"5,535","5,769","8,599","61,787",> 100%
National,,All,2019-20,29,5.6,5.2,9.8,15.7,13,"6,181","7,165","9,913","62,979",> 100%
National,,All,2019-20,30,5.5,5.2,10.6,17.2,11,"6,763","8,226","11,032","64,112",> 100%
National,,All,2019-20,31,5.5,5.1,10.7,17.2,13,"6,840","8,283","11,056","64,109",> 100%
National,,All,2019-20,32,5.4,5.1,10.7,16.8,10,"6,803","7,848","10,687","63,559",> 100%
National,,All,2019-20,33,5.4,5.1,10.3,15.9,5,"6,507","7,241","10,077","63,496",> 100%
National,,All,2019-20,34,5.4,5.1,9.6,14.6,12,"5,966","6,374","9,133","62,423",> 100%
National,,All,2019-20,35,5.4,5.1,9.1,13.8,12,"5,541","5,737","8,402","60,964",> 100%
National,,All,2019-20,36,5.4,5.1,8.7,12.8,9,"5,204","5,008","7,717","60,110",> 100%
National,,All,2019-20,37,5.5,5.2,8.3,12.2,7,"4,941","4,617","7,271","59,529",> 100%
National,,All,2019-20,38,5.5,5.2,8,11.7,5,"4,770","4,272","6,999","59,619",> 100%
National,,All,2019-20,39,5.6,5.3,8.2,11.8,4,"4,932","4,292","7,113","60,486",> 100%
National,,All,2018-19,40,5.8,5.5,5.7,5.7,10,"2,969",0,"2,979","52,357",> 100%
National,,All,2018-19,41,5.9,5.6,5.6,5.6,12,"2,866",0,"2,878","51,849",> 100%
National,,All,2018-19,42,6,5.6,5.7,5.7,18,"2,989",0,"3,007","52,979",> 100%
National,,All,2018-19,43,6.1,5.7,5.7,5.7,24,"3,065",0,"3,089","53,763",> 100%
National,,All,2018-19,44,6.2,5.8,5.6,5.6,25,"3,003",0,"3,028","53,638",> 100%
National,,All,2018-19,45,6.3,5.9,5.7,5.7,30,"3,022",0,"3,052","53,561",> 100%
National,,All,2018-19,46,6.4,6,5.8,5.8,26,"3,143",0,"3,169","54,698",> 100%
National,,All,2018-19,47,6.5,6.2,5.9,5.9,31,"3,178",0,"3,209","54,847",> 100%
National,,All,2018-19,48,6.6,6.3,6,6,38,"3,287",0,"3,325","55,060",> 100%
National,,All,2018-19,49,6.7,6.4,6.2,6.2,56,"3,399",0,"3,455","55,967",> 100%
National,,All,2018-19,50,6.8,6.5,6.4,6.4,51,"3,552",0,"3,603","56,387",> 100%
National,,All,2018-19,51,6.9,6.6,6.3,6.3,88,"3,490",0,"3,578","56,528",> 100%
National,,All,2018-19,52,7,6.7,6.7,6.7,141,"3,636",0,"3,777","56,026",> 100%
National,,All,2018-19,1,7,6.7,7.1,7.1,211,"3,919",0,"4,130","58,299",> 100%
National,,All,2018-19,2,7.1,6.8,7.4,7.4,259,"4,055",0,"4,314","58,362",> 100%
National,,All,2018-19,3,7.2,6.9,7.5,7.5,246,"4,099",0,"4,345","58,220",> 100%
National,,All,2018-19,4,7.2,6.9,7.2,7.2,276,"3,899",0,"4,175","57,908",> 100%
National,,All,2018-19,5,7.3,7,7.3,7.3,327,"3,893",0,"4,220","58,152",> 100%
National,,All,2018-19,6,7.3,7,7.3,7.3,367,"3,891",0,"4,258","58,523",> 100%
National,,All,2018-19,7,7.3,7,7.5,7.5,483,"3,896",0,"4,379","58,000",> 100%
National,,All,2018-19,8,7.3,7,7.7,7.7,474,"3,988",0,"4,462","58,005",> 100%
National,,All,2018-19,9,7.3,7,7.4,7.4,516,"3,759",0,"4,275","57,972",> 100%
National,,All,2018-19,10,7.3,7,7.3,7.3,543,"3,753",0,"4,296","58,546",> 100%
National,,All,2018-19,11,7.2,6.9,7.8,7.8,511,"3,979",0,"4,490","57,917",> 100%
National,,All,2018-19,12,7.2,6.9,7.5,7.5,480,"3,798",0,"4,278","57,094",> 100%
National,,All,2018-19,13,7.1,6.8,7.4,7.4,459,"3,714",0,"4,173","56,675",> 100%
National,,All,2018-19,14,7,6.7,7,7,339,"3,635",0,"3,974","56,598",> 100%
National,,All,2018-19,15,7,6.6,6.8,6.8,303,"3,451",0,"3,754","55,491",> 100%
National,,All,2018-19,16,6.9,6.6,6.6,6.6,202,"3,414",0,"3,616","54,468",> 100%
National,,All,2018-19,17,6.8,6.5,6.4,6.4,156,"3,274",0,"3,430","53,656",> 100%
National,,All,2018-19,18,6.7,6.4,6.2,6.2,97,"3,224",0,"3,321","53,987",> 100%
